%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
100110.786,302.162,1.154,10.092,58.778,0.472,-3.891,26.126,4.175,-18.998,-22.561,-26.881,-26.053,-23.221,-14.51,-24.902,-36.481,-44.286,-42.653,-43.574,-41.148,-41.311,-9,60.609,29.944,-1.543,-191.705,210.292
100110.786,302.157,1.154,10.106,58.936,0.472,-3.242,25.68,3.639,-17.954,-23.209,-26.985,-26.053,-23.328,-13.617,-27.195,-35.849,-44.498,-41.921,-42.843,-41.873,-40.636,-9,60.609,29.944,-1.543,-191.738,210.281
100102.723,302.16,1.154,10.113,59.015,0.152,-3.567,26.015,3.853,-18.058,-22.021,-27.815,-25.733,-22.472,-13.729,-29.695,-36.165,-43.542,-42.549,-42.216,-41.148,-41.198,-9,60.609,29.944,-1.543,-191.738,210.261
100106.755,302.163,1.154,10.119,59.094,0.312,-3.134,26.238,4.175,-17.954,-21.913,-26.569,-26.053,-22.579,-13.282,-31.779,-35.954,-43.224,-41.399,-41.798,-40.629,-39.96,-9,60.609,29.944,-1.543,-191.689,210.281
100110.786,302.159,1.154,10.112,59.015,-0.008,-3.891,26.238,4.175,-17.954,-21.913,-26.673,-25.199,-22.472,-14.287,-29.279,-34.583,-43.33,-41.503,-41.902,-40.007,-39.623,-9,60.609,29.944,-1.543,-191.705,210.292
100118.849,302.16,1.154,10.119,59.094,0.312,-2.162,25.791,3.853,-17.745,-22.561,-26.777,-25.733,-22.365,-15.18,-27.716,-34.373,-43.011,-41.294,-40.648,-39.593,-38.609,-9,60.609,29.944,-1.543,-191.738,210.281
100090.629,302.157,1.154,10.113,59.015,-0.008,-1.729,26.573,3.425,-17.745,-22.021,-27.711,-25.84,-23.114,-15.18,-27.716,-35.322,-43.33,-41.608,-40.335,-38.867,-39.06,-9,60.609,29.944,-1.543,-191.722,210.281
100098.692,302.16,1.154,10.113,59.015,-0.008,-1.945,26.35,4.282,-17.85,-22.129,-26.881,-26.267,-23.328,-15.403,-28.758,-35.849,-42.905,-39.726,-41.066,-38.453,-37.822,-9,60.609,29.944,-1.543,-191.738,210.281
100098.692,302.159,1.154,10.113,59.015,0.312,-2.27,26.573,4.282,-17.745,-21.805,-27.192,-26.16,-23.542,-14.733,-30.216,-36.587,-41.206,-39.726,-40.021,-38.245,-38.047,-9,60.609,29.944,-1.543,-191.738,210.281
100106.755,302.162,1.154,10.113,59.015,0.152,-0.973,25.345,4.175,-18.372,-22.021,-26.777,-26.053,-22.9,-17.077,-31.363,-35.111,-41.524,-38.994,-39.917,-37.313,-37.822,-9,60.609,29.944,-1.543,-191.722,210.302
100110.786,302.16,1.154,10.085,58.699,0.152,-0.973,26.461,3.425,-17.85,-21.913,-27.607,-26.481,-23.435,-16.631,-31.363,-33.529,-40.887,-39.099,-38.872,-37.416,-37.596,-9,60.609,29.944,-1.543,-191.738,210.281
100102.723,302.162,1.154,10.093,58.778,0.312,-0.432,25.345,3.96,-18.789,-22.669,-27.711,-27.228,-24.719,-18.417,-28.758,-33.318,-41.312,-37.531,-38.35,-36.691,-36.358,-9,60.609,29.944,-1.543,-191.738,210.281
100098.692,302.163,1.154,10.106,58.936,0.312,0,25.121,3.211,-18.267,-23.64,-28.334,-27.014,-25.361,-19.31,-27.507,-33.951,-41.949,-36.903,-37.514,-35.965,-34.67,-9,60.609,29.944,-1.543,-191.722,210.281
100094.66,302.167,1.154,10.113,59.015,0.152,0.758,24.34,2.997,-19.311,-22.885,-28.749,-27.335,-25.147,-19.645,-28.549,-34.267,-42.268,-37.322,-36.254,-33.996,-34.332,-9,60.609,29.944,-1.543,-191.705,210.281
100102.723,302.165,1.154,10.113,59.015,0.312,1.949,25.568,2.248,-18.893,-23.532,-28.334,-27.655,-26.217,-19.533,-30.737,-34.584,-41.737,-36.381,-36.359,-32.96,-32.306,-9,60.609,29.944,-1.543,-191.771,210.281
100110.786,302.162,1.154,10.106,58.936,-0.168,2.923,24.786,2.676,-19.624,-23.856,-28.749,-28.296,-26.859,-19.533,-30.737,-34.794,-39.719,-36.485,-36.15,-33.167,-31.18,-9,60.609,29.944,-1.543,-191.754,210.281
100114.818,302.16,1.154,10.099,58.857,-0.168,4.764,24.005,2.676,-18.789,-24.936,-29.372,-27.975,-26.217,-19.756,-32.821,-32.686,-39.507,-35.753,-34.896,-32.545,-31.18,-9,60.609,29.944,-1.543,-191.771,210.292
100098.692,302.159,1.154,10.093,58.778,-0.168,5.522,24.563,2.355,-19.729,-23.964,-30.617,-28.936,-26.859,-20.426,-33.655,-32.159,-38.657,-34.499,-33.747,-31.405,-31.068,-9,60.609,29.944,-1.543,-191.787,210.271
100106.755,302.16,1.154,10.106,58.936,-0.008,5.846,24.452,2.034,-20.042,-24.396,-29.475,-29.577,-27.287,-20.872,-33.134,-31.21,-38.126,-33.14,-33.851,-31.094,-28.366,-9,60.609,29.944,-1.543,-191.787,210.281
100102.723,302.159,1.154,10.099,58.857,0.152,6.821,23.893,1.927,-20.146,-24.72,-29.787,-29.364,-27.929,-21.43,-30.425,-30.893,-36.958,-32.513,-32.702,-29.539,-28.254,-9,60.609,29.944,-1.543,-191.738,210.281
100122.881,302.165,1.154,19.899,228.534,0.472,-48.961,115.559,21.408,-69.624,-84.954,-98.286,-95.351,-84.751,-54.469,-36.989,-90.36,-169.496,-193.507,-217.871,-225.431,-227.154,-9,60.609,29.944,-1.543,-189.373,210.281
100126.912,302.167,1.154,19.898,228.534,0.152,-47.556,116.117,20.552,-70.25,-84.846,-99.843,-95.885,-84.858,-54.804,-35.322,-94.472,-161.531,-194.657,-218.707,-222.321,-224.115,-9,60.609,29.944,-1.543,-189.406,210.281
100114.818,302.167,1.154,19.903,228.613,0.152,-45.611,115.893,20.338,-70.668,-84.846,-98.805,-96.846,-84.43,-54.134,-39.281,-91.52,-163.655,-195.912,-216.513,-224.498,-220.175,-9,60.609,29.944,-1.543,-189.406,210.281
100110.786,302.167,1.154,19.897,228.455,0.312,-44.638,115.67,20.445,-70.668,-85.062,-99.324,-96.206,-86.035,-55.697,-40.219,-96.37,-164.611,-199.989,-214.214,-227.504,-225.691,-9,60.609,29.944,-1.543,-189.39,210.271
100098.692,302.163,1.154,19.898,228.455,0.312,-46.151,115.224,20.231,-70.25,-85.17,-99.428,-95.885,-85.072,-57.036,-40.532,-92.785,-157.814,-203.544,-214.527,-223.358,-222.652,-9,60.609,29.944,-1.543,-189.39,210.281
100106.755,302.162,1.154,19.89,228.297,0.152,-44.314,115.893,19.695,-70.563,-84.954,-99.843,-96.633,-85.607,-57.036,-37.406,-98.057,-163.549,-203.23,-213.064,-216.932,-210.495,-9,60.609,29.944,-1.543,-189.373,210.281
100110.786,302.165,1.154,19.89,228.297,0.152,-37.072,115.67,21.194,-70.668,-84.522,-98.701,-96.205,-84.216,-54.357,-35.009,-104.488,-164.717,-196.539,-208.467,-212.06,-207.231,-9,60.609,29.944,-1.543,-189.373,210.292
100102.723,302.165,1.154,19.883,228.139,-0.008,-33.073,115.335,20.659,-70.563,-85.062,-99.012,-95.458,-85.5,-55.362,-47.721,-102.485,-163.124,-190.267,-202.824,-208.951,-202.953,-9,60.609,29.944,-1.543,-189.373,210.312
100114.818,302.163,1.154,19.896,228.455,0.472,-28.642,113.995,19.909,-70.981,-85.062,-99.531,-96.205,-85.179,-58.162,-48.242,-97.424,-166.098,-191.103,-201.152,-200.452,-193.948,-9,60.609,29.944,-1.543,-189.373,210.302
100110.786,302.165,1.154,19.883,228.139,0.632,-22.805,112.99,17.555,-72.86,-86.573,-100.881,-97.914,-86.998,-59.725,-49.18,-103.645,-162.593,-185.458,-196.136,-197.239,-186.069,-9,60.609,29.944,-1.543,-189.39,210.271
100106.755,302.168,1.154,19.89,228.297,0.152,-17.725,111.762,17.555,-72.964,-85.602,-100.569,-97.7,-86.998,-58.05,-54.181,-108.284,-158.133,-180.022,-193.524,-193.197,-185.055,-9,60.609,29.944,-1.543,-189.39,210.271
100118.849,302.168,1.154,19.889,228.297,-0.008,-14.591,111.651,17.019,-73.277,-87.653,-101.503,-98.554,-88.817,-60.283,-59.808,-105.754,-153.46,-177.303,-192.061,-191.227,-180.328,-9,60.609,29.944,-1.543,-189.39,210.281
100110.786,302.168,1.154,19.893,228.376,0.152,-10.808,110.646,15.949,-73.799,-87.113,-102.956,-99.409,-88.603,-61.176,-61.058,-99.849,-159.726,-176.154,-186.941,-185.423,-173.912,-9,60.609,29.944,-1.543,-189.39,210.281
100122.881,302.171,1.154,19.889,228.297,0.152,-6.701,110.311,15.842,-74.217,-87.653,-101.815,-100.049,-88.924,-60.729,-55.64,-107.652,-154.629,-171.345,-181.375,-181.277,-170.647,-9,60.609,29.944,-1.543,-189.357,210.271
100114.818,302.163,1.154,19.886,228.218,0.152,-3.134,109.753,15.842,-73.695,-87.113,-101.607,-97.914,-88.175,-57.269,-63.767,-103.329,-149.531,-166.745,-181.584,-180.138,-172.223,-9,60.609,29.944,-1.543,-189.357,210.281
100118.849,302.159,1.154,19.871,227.902,-0.008,-3.351,108.413,15.307,-74.217,-88.085,-101.918,-99.302,-89.031,-59.836,-60.016,-94.472,-151.23,-175.631,-184.719,-178.583,-170.648,-9,60.609,29.944,-1.543,-189.341,210.292
100102.723,302.16,1.154,19.88,228.06,-0.168,-3.026,108.859,14.772,-74.947,-88.301,-103.268,-99.836,-89.352,-59.725,-49.701,-89.517,-159.089,-176.781,-186.808,-188.637,-184.718,-9,60.609,29.944,-1.543,-189.373,210.281
100110.786,302.167,1.154,19.872,227.902,-0.008,-11.997,108.859,14.772,-75.156,-89.38,-102.749,-100.69,-89.245,-59.613,-44.387,-96.054,-150.805,-187.549,-197.883,-193.197,-193.498,-9,60.609,29.944,-1.543,-189.39,210.281
100118.849,302.162,1.154,19.882,228.139,-0.168,-18.05,109.976,15.307,-74.53,-88.624,-101.918,-98.875,-89.887,-58.497,-52.097,-87.513,-155.584,-184.831,-202.376,-205.531,-202.841,-9,60.609,29.944,-1.543,-189.39,210.271
100106.755,302.163,1.154,19.873,227.902,-0.008,-23.778,110.423,15.521,-73.799,-87.653,-101.815,-98.875,-87.212,-57.604,-49.492,-89.833,-157.284,-188.595,-202.271,-204.495,-207.681,-9,60.609,29.944,-1.543,-189.39,210.281
100110.786,302.167,1.154,30.154,524.738,0.472,-3.459,240.385,19.053,-191.023,-219.24,-251.995,-247.401,-225.253,-159.835,-127.43,-265.597,-390.713,-417.751,-420.946,-421.841,-423.017,-9,60.609,29.944,-1.543,-189.814,210.271
100118.849,302.168,1.154,30.158,524.896,0.472,-11.997,241.277,17.233,-191.649,-220.535,-252.099,-247.401,-224.183,-153.027,-144.31,-265.808,-392.837,-422.665,-424.707,-435.419,-440.577,-9,60.609,29.944,-1.543,-189.83,210.281
100118.849,302.175,1.154,30.158,524.896,0.312,-22.697,243.733,20.123,-190.71,-219.24,-250.853,-246.761,-224.504,-154.701,-124.304,-265.387,-396.342,-419.006,-428.886,-439.15,-446.655,-9,60.609,29.944,-1.543,-189.814,210.281
100122.881,302.168,1.154,30.155,524.817,0.472,-24.859,243.398,20.445,-189.874,-219.996,-251.268,-246.761,-224.825,-152.468,-126.388,-273.083,-391.775,-422.351,-433.797,-436.974,-440.915,-9,60.609,29.944,-1.543,-189.814,210.281
