%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
100183.352,302.265,1.155,10.194,59.999,-0.224,1.408,26.350,3.746,-20.981,-24.828,-31.344,-31.392,-29.106,-20.537,-32.926,-34.689,-40.356,-34.394,-36.568,-33.996,-34.782,-10.000,60.609,29.944,-1.543,-188.623,210.292
100195.447,302.265,1.155,10.187,59.920,-0.224,1.083,26.015,2.890,-20.042,-25.152,-31.136,-31.606,-30.283,-21.989,-33.134,-33.424,-39.507,-34.290,-35.105,-33.996,-34.782,-10.000,60.609,29.944,-1.543,-188.607,210.281
100195.447,302.267,1.155,10.180,59.841,-0.384,1.408,25.903,2.997,-19.729,-25.260,-32.070,-31.392,-29.962,-24.109,-31.779,-32.475,-39.507,-34.081,-34.896,-33.374,-34.445,-10.000,60.609,29.944,-1.543,-188.574,210.281
100195.447,302.260,1.155,10.187,59.920,-0.384,1.732,26.126,1.820,-20.772,-25.907,-31.966,-32.140,-30.069,-23.886,-31.779,-32.369,-38.976,-34.394,-34.791,-33.167,-33.544,-10.000,60.609,29.944,-1.543,-188.590,210.292
100191.415,302.262,1.155,10.187,59.920,-0.224,1.841,25.568,2.462,-21.607,-26.339,-31.966,-32.140,-30.711,-24.444,-31.258,-33.424,-38.976,-33.454,-35.836,-33.581,-34.107,-10.000,60.609,29.944,-1.543,-188.590,210.292
100183.352,302.263,1.155,10.181,59.841,-0.384,1.732,25.456,2.355,-20.564,-26.447,-31.966,-32.033,-31.354,-25.002,-31.154,-32.475,-38.870,-33.767,-34.896,-33.789,-34.332,-10.000,60.609,29.944,-1.543,-188.574,210.281
100179.321,302.260,1.155,10.208,60.157,-0.064,2.382,25.568,1.927,-21.086,-26.015,-32.381,-32.247,-31.461,-25.002,-31.154,-32.053,-37.595,-34.604,-34.896,-33.892,-35.008,-10.000,60.609,29.944,-1.543,-188.574,210.271
100175.289,302.260,1.155,10.175,59.762,-0.224,1.516,25.345,2.569,-20.981,-26.231,-32.381,-32.140,-31.353,-24.556,-31.050,-30.893,-37.277,-33.663,-35.523,-33.789,-34.670,-10.000,60.609,29.944,-1.543,-188.607,210.251
100179.321,302.263,1.155,10.181,59.841,-0.224,1.191,25.345,2.248,-22.129,-26.447,-32.174,-32.140,-31.567,-24.783,-28.758,-31.210,-38.126,-34.081,-35.523,-33.789,-34.332,-10.000,60.609,29.944,-1.543,-188.574,210.281
100191.415,302.263,1.155,10.187,59.920,0.096,2.165,24.675,2.248,-20.772,-26.663,-31.966,-32.353,-31.460,-24.671,-27.091,-29.839,-38.232,-33.872,-35.000,-34.203,-34.107,-10.000,60.609,29.944,-1.543,-188.607,210.271
