%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
100090.629,301.942,1.155,9.949,57.150,-0.072,-0.108,23.223,2.890,-17.641,-20.726,-25.324,-22.316,-18.833,-13.282,-19.484,-29.944,-42.268,-37.635,-38.976,-37.416,-38.947,-8.000,60.609,29.944,-1.543,-188.998,210.292
100098.692,301.946,1.155,9.942,57.071,0.248,-0.324,23.782,2.248,-17.745,-20.726,-24.701,-22.637,-18.405,-11.497,-20.631,-30.366,-41.737,-38.576,-39.708,-37.624,-38.272,-8.000,60.609,29.944,-1.543,-189.014,210.281
100110.786,301.949,1.155,9.927,56.913,0.088,-1.189,23.893,3.211,-17.850,-20.618,-24.494,-22.316,-19.047,-11.608,-20.526,-31.209,-42.586,-38.890,-40.230,-38.660,-39.510,-8.000,60.609,29.944,-1.543,-189.047,210.271
100114.818,301.944,1.155,9.948,57.150,0.088,-1.081,23.335,2.997,-17.014,-21.265,-24.390,-22.530,-17.977,-11.385,-21.881,-30.788,-42.268,-38.681,-40.335,-39.593,-41.198,-8.000,60.609,29.944,-1.543,-189.031,210.292
100110.786,301.947,1.155,9.948,57.150,0.088,-2.054,24.675,2.997,-17.014,-19.754,-24.597,-21.676,-17.763,-10.938,-22.089,-31.315,-39.507,-39.099,-40.544,-40.837,-43.225,-8.000,60.609,29.944,-1.543,-189.031,210.302
100110.786,301.947,1.155,9.955,57.229,-0.232,-3.242,24.340,3.425,-16.806,-20.186,-23.763,-22.637,-17.763,-10.938,-23.965,-28.784,-41.418,-38.367,-42.843,-42.495,-44.013,-8.000,60.609,29.944,-1.543,-189.014,210.281
100102.723,301.942,1.155,9.927,56.913,0.088,-5.404,24.005,3.532,-16.806,-20.294,-24.386,-21.142,-18.619,-10.715,-24.069,-26.676,-42.055,-39.935,-44.201,-45.397,-46.489,-8.000,60.609,29.944,-1.543,-189.014,210.271
100106.755,301.946,1.155,9.927,56.913,0.088,-6.161,23.670,3.960,-16.597,-20.402,-23.660,-21.355,-17.656,-11.162,-20.839,-27.519,-42.055,-42.549,-45.037,-47.263,-49.753,-8.000,60.609,29.944,-1.543,-189.014,210.281
100106.755,301.942,1.155,9.920,56.834,0.088,-8.106,25.010,2.890,-16.597,-20.078,-24.386,-21.996,-17.656,-11.497,-16.150,-26.887,-42.055,-44.535,-47.127,-49.439,-51.442,-8.000,60.609,29.944,-1.543,-189.047,210.292
100118.849,301.946,1.155,9.920,56.834,0.088,-10.052,25.121,4.175,-16.910,-20.078,-23.763,-21.889,-17.656,-11.831,-13.339,-26.043,-43.861,-44.326,-49.635,-51.616,-54.819,-8.000,60.609,29.944,-1.543,-189.031,210.271
100110.786,301.947,1.155,9.927,56.913,0.248,-11.673,25.233,4.389,-15.762,-20.402,-23.867,-20.928,-17.763,-10.380,-12.922,-28.890,-44.392,-44.639,-50.575,-53.792,-57.408,-8.000,60.609,29.944,-1.543,-189.031,210.292
100102.723,301.942,1.155,9.914,56.755,-0.072,-13.402,25.568,3.853,-15.762,-19.862,-23.660,-21.035,-16.800,-10.604,-11.672,-29.312,-43.967,-44.639,-53.710,-54.311,-59.209,-8.000,60.609,29.944,-1.543,-189.031,210.281
100110.786,301.952,1.155,9.920,56.834,0.088,-14.483,26.015,3.746,-15.553,-19.430,-23.348,-21.142,-16.800,-9.153,-14.798,-28.574,-43.649,-48.089,-55.069,-55.762,-59.997,-8.000,60.609,29.944,-1.543,-189.014,210.271
100106.755,301.949,1.155,9.927,56.913,0.248,-16.212,26.238,5.031,-16.493,-19.430,-23.452,-20.715,-16.479,-9.599,-15.423,-26.359,-44.286,-48.717,-56.531,-56.280,-61.235,-8.000,60.609,29.944,-1.543,-189.031,210.271
