%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
100804.196,301.385,1.165,9.995,58.205,0.120,-11.781,23.781,1.392,-17.852,-19.865,-23.663,-18.686,-13.378,-10.045,-10.732,-13.496,-33.240,-50.075,-63.950,-60.840,-61.807,-6.000,60.609,29.944,-1.543,-148.080,215.744
100812.259,301.385,1.165,9.988,58.126,0.120,-12.213,23.334,1.713,-18.374,-20.081,-22.937,-19.647,-13.378,-10.492,-10.211,-13.601,-34.302,-49.971,-64.054,-61.254,-61.132,-6.000,60.609,29.944,-1.543,-148.536,215.734
100800.165,301.385,1.165,10.009,58.363,-0.200,-13.618,23.223,1.713,-18.061,-20.081,-22.625,-19.006,-14.234,-11.162,-10.524,-13.918,-34.727,-50.807,-63.636,-61.254,-61.357,-6.000,60.609,29.944,-1.543,-148.177,215.744
100792.102,301.386,1.165,9.969,57.889,0.120,-12.105,22.665,1.178,-18.374,-20.621,-23.248,-18.792,-13.913,-11.273,-10.419,-13.707,-37.913,-50.493,-62.696,-61.254,-61.244,-6.000,60.609,29.944,-1.543,-148.145,215.744
100792.102,301.380,1.165,9.975,57.968,-0.040,-12.321,23.669,0.856,-18.165,-20.081,-23.871,-18.686,-13.592,-11.496,-10.628,-11.703,-36.426,-51.852,-61.756,-60.218,-61.582,-6.000,60.609,29.944,-1.543,-148.650,215.744
100792.102,301.381,1.165,9.989,58.126,-0.360,-12.862,23.223,1.178,-18.270,-20.621,-22.418,-19.006,-13.699,-10.715,-10.315,-13.496,-37.595,-50.284,-61.651,-60.736,-61.244,-6.000,60.609,29.944,-1.543,-148.553,215.744
100784.039,301.385,1.165,9.996,58.205,-0.360,-13.078,22.665,1.178,-18.478,-20.297,-23.248,-18.899,-14.555,-11.385,-9.690,-15.077,-36.320,-49.552,-61.547,-60.425,-60.681,-6.000,60.609,29.944,-1.543,-148.096,215.724
100788.070,301.389,1.165,9.989,58.126,0.280,-12.429,21.660,1.071,-18.583,-20.729,-22.625,-18.686,-13.913,-11.162,-10.524,-14.866,-36.957,-50.702,-61.129,-59.492,-60.118,-6.000,60.609,29.944,-1.543,-147.982,215.744
100804.196,301.385,1.165,9.989,58.126,-0.200,-12.105,23.334,0.428,-18.270,-20.837,-23.871,-19.006,-13.592,-10.828,-10.524,-14.234,-36.533,-50.911,-61.442,-59.803,-59.218,-6.000,60.609,29.944,-1.543,-148.699,215.744
100792.102,301.383,1.165,9.989,58.126,-0.040,-10.916,23.893,1.820,-18.165,-20.081,-22.521,-19.326,-13.485,-10.047,-9.796,-14.234,-36.745,-49.866,-62.278,-60.425,-59.668,-6.000,60.609,29.944,-1.543,-148.259,215.724
100808.228,301.383,1.165,9.995,58.205,-0.040,-11.565,23.558,1.713,-17.852,-20.405,-22.833,-18.258,-14.448,-10.270,-10.629,-15.921,-35.577,-48.402,-61.651,-60.840,-61.019,-6.000,60.609,29.944,-1.543,-148.112,215.744
100796.133,301.376,1.165,9.989,58.126,-0.360,-11.673,22.441,1.927,-17.643,-19.973,-22.418,-18.045,-13.164,-10.717,-10.525,-14.761,-36.426,-46.834,-61.129,-61.151,-61.920,-6.000,60.609,29.944,-1.543,-148.210,215.724
100792.102,301.380,1.165,9.989,58.126,-0.520,-12.862,24.563,0.964,-17.330,-19.973,-22.625,-18.258,-13.378,-9.266,-10.421,-15.710,-36.002,-48.089,-62.487,-62.291,-62.933,-6.000,60.609,29.944,-1.543,-148.977,215.734
100792.102,301.381,1.165,9.996,58.205,-0.680,-12.321,24.004,1.927,-18.165,-20.081,-22.625,-18.472,-13.592,-9.712,-10.317,-15.921,-35.046,-47.671,-65.413,-62.498,-62.820,-6.000,60.609,29.944,-1.543,-148.063,215.744
100784.039,301.375,1.165,9.989,58.126,-0.680,-13.510,23.669,1.285,-17.956,-20.513,-22.625,-18.365,-14.234,-10.605,-11.046,-14.656,-34.833,-49.030,-63.427,-62.498,-63.158,-6.000,60.609,29.944,-1.543,-148.357,215.754
100788.070,301.381,1.165,9.962,57.810,-0.680,-13.186,23.111,1.178,-17.748,-19.973,-22.937,-18.792,-13.485,-11.610,-9.691,-14.656,-35.046,-49.971,-63.323,-62.187,-63.045,-6.000,60.609,29.944,-1.543,-148.177,215.713
100788.070,301.380,1.165,9.976,57.968,-0.360,-13.402,23.558,0.749,-18.687,-20.081,-23.663,-18.686,-13.699,-11.163,-11.046,-15.288,-34.409,-50.493,-62.696,-61.565,-62.032,-6.000,60.609,29.944,-1.543,-148.585,215.744
100792.102,301.378,1.165,9.989,58.126,-0.680,-13.618,23.446,1.499,-19.209,-20.945,-22.729,-19.326,-14.448,-11.945,-10.525,-14.445,-34.727,-49.657,-62.800,-60.943,-60.794,-6.000,60.609,29.944,-1.543,-147.868,215.734
100788.070,301.378,1.165,9.982,58.047,-0.680,-13.294,22.999,1.285,-17.852,-20.837,-23.559,-19.113,-15.090,-11.387,-10.838,-14.656,-35.789,-48.298,-61.547,-60.632,-60.231,-6.000,60.609,29.944,-1.543,-147.835,215.724
100812.259,301.383,1.165,9.981,58.047,-0.680,-13.186,22.218,1.178,-18.374,-20.405,-23.871,-19.006,-14.341,-12.615,-10.421,-15.499,-35.895,-48.193,-61.756,-59.803,-59.443,-6.000,60.609,29.944,-1.543,-148.601,215.744
100796.133,301.407,1.165,20.031,233.730,-0.840,-48.204,81.838,-17.637,-104.085,-110.121,-117.070,-107.202,-90.542,-66.198,-3.855,-22.352,-50.551,-67.324,-105.538,-260.045,-343.372,-6.000,60.609,29.944,-1.543,-175.348,215.724
100796.133,301.404,1.165,20.038,233.888,-0.840,-47.231,81.503,-17.744,-104.189,-109.689,-117.796,-107.736,-90.007,-67.650,-4.168,-23.301,-51.719,-67.951,-105.538,-258.698,-343.597,-6.000,60.609,29.944,-1.543,-175.315,215.734
100808.228,301.407,1.165,20.033,233.809,-1.001,-48.420,82.173,-18.171,-104.503,-109.366,-117.381,-107.736,-90.328,-66.645,-5.105,-23.301,-51.082,-68.370,-106.061,-259.423,-343.822,-6.000,60.609,29.944,-1.543,-175.364,215.734
100796.133,301.404,1.165,20.021,233.493,-1.161,-47.988,81.057,-18.065,-105.442,-110.661,-117.900,-108.270,-91.398,-67.761,-5.105,-23.934,-51.507,-68.683,-107.314,-260.252,-343.372,-6.000,60.609,29.944,-1.543,-175.315,215.734
100788.070,301.404,1.165,20.028,233.651,-1.001,-48.744,80.387,-18.813,-105.233,-111.093,-118.108,-107.949,-91.719,-68.989,-5.522,-23.301,-52.038,-69.101,-106.270,-260.667,-345.061,-6.000,60.609,29.944,-1.543,-175.331,215.744
100788.070,301.404,1.165,20.018,233.414,-1.001,-49.609,79.829,-18.920,-105.859,-110.769,-118.730,-108.590,-91.291,-70.106,-5.418,-23.618,-51.400,-69.101,-106.061,-259.527,-346.074,-6.000,60.609,29.944,-1.543,-175.315,215.744
100784.039,301.404,1.165,20.022,233.493,-1.321,-49.393,80.945,-18.385,-105.546,-110.121,-117.381,-108.270,-90.863,-67.873,-6.043,-22.458,-50.869,-68.683,-105.120,-258.905,-345.173,-6.000,60.609,29.944,-1.543,-175.331,215.734
100800.165,301.406,1.165,20.021,233.493,-1.161,-49.501,80.722,-17.637,-105.964,-110.121,-117.485,-107.736,-90.970,-68.096,-4.689,-23.196,-50.763,-67.951,-106.374,-258.076,-344.723,-6.000,60.609,29.944,-1.543,-175.315,215.754
100796.133,301.409,1.165,20.011,233.256,-0.680,-48.744,80.610,-17.958,-104.920,-110.661,-117.692,-107.736,-91.077,-67.873,-4.272,-22.563,-51.082,-68.056,-105.016,-260.667,-345.511,-6.000,60.609,29.944,-1.543,-175.315,215.724
100796.133,301.407,1.165,20.018,233.414,-0.840,-48.096,81.057,-18.385,-104.711,-109.474,-117.588,-108.056,-90.542,-67.650,-4.377,-21.931,-50.232,-67.742,-105.016,-259.527,-344.835,-6.000,60.609,29.944,-1.543,-175.331,215.744
