%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
100578.435,300.644,1.165,10.006,58.344,0.024,-3.459,29.811,7.386,-18.058,-24.720,-32.693,-33.635,-34.885,-29.244,-33.134,-30.682,-33.347,-29.690,-31.135,-30.887,-31.405,-13.000,60.609,29.944,-1.543,-188.541,210.271
100578.435,300.641,1.165,10.006,58.344,-0.136,-2.918,28.918,6.636,-17.954,-25.583,-32.693,-34.062,-34.243,-29.690,-33.134,-30.577,-34.197,-29.690,-30.926,-30.161,-31.405,-13.000,60.609,29.944,-1.543,-188.541,210.281
100578.435,300.644,1.165,9.986,58.106,0.344,-2.486,30.369,6.529,-17.850,-25.260,-33.316,-34.382,-34.243,-28.797,-34.593,-30.999,-33.347,-30.213,-31.135,-30.576,-31.743,-13.000,60.609,29.944,-1.543,-188.509,210.271
100586.498,300.643,1.166,9.999,58.265,-0.136,-3.351,29.588,7.279,-18.580,-25.583,-32.382,-35.236,-34.778,-28.686,-33.655,-30.682,-33.984,-29.063,-32.284,-30.576,-31.293,-13.000,60.609,29.944,-1.543,-188.541,210.281
100578.435,300.643,1.165,9.986,58.106,0.024,-3.567,29.699,6.529,-17.745,-25.260,-32.797,-34.169,-35.313,-29.020,-33.655,-29.839,-33.029,-29.272,-31.344,-30.990,-31.518,-13.000,60.609,29.944,-1.543,-188.558,210.281
100582.466,300.638,1.166,9.999,58.265,-0.136,-2.810,28.694,6.744,-18.476,-24.828,-32.900,-34.702,-34.671,-30.471,-32.821,-29.628,-33.560,-29.585,-30.821,-29.332,-31.405,-13.000,60.609,29.944,-1.543,-188.509,210.281
100586.498,300.638,1.166,9.985,58.106,-0.136,-2.702,30.146,6.101,-17.537,-24.828,-32.693,-34.275,-34.350,-28.797,-32.196,-29.417,-33.453,-29.899,-30.403,-29.228,-29.717,-13.000,60.609,29.944,-1.543,-188.558,210.281
100586.498,300.643,1.166,9.992,58.186,0.184,-2.810,29.029,7.172,-18.998,-25.260,-32.382,-35.236,-34.885,-29.244,-30.842,-30.788,-33.347,-28.331,-31.030,-29.747,-30.167,-13.000,60.609,29.944,-1.543,-188.525,210.271
100578.435,300.644,1.165,9.999,58.265,-0.136,-2.162,29.253,6.958,-17.537,-25.583,-32.382,-34.382,-34.243,-28.244,-31.363,-30.893,-33.666,-28.749,-29.985,-29.954,-29.942,-13.000,60.609,29.944,-1.543,-188.541,210.271
100582.466,300.648,1.165,9.999,58.265,0.024,-2.054,29.699,6.958,-17.850,-24.504,-32.693,-34.275,-34.136,-28.132,-32.821,-30.682,-32.604,-28.540,-30.717,-29.643,-31.068,-13.000,60.609,29.944,-1.543,-188.558,210.281
100594.560,300.644,1.166,9.999,58.265,0.184,-2.810,29.699,6.422,-17.745,-24.828,-32.070,-33.848,-33.922,-27.909,-34.176,-30.261,-33.135,-28.645,-30.403,-30.057,-30.618,-13.000,60.609,29.944,-1.543,-188.525,210.292
100590.529,300.641,1.166,9.999,58.265,0.184,-3.351,29.923,7.172,-17.328,-24.936,-32.278,-33.955,-34.885,-28.914,-32.300,-30.050,-33.560,-29.063,-30.612,-29.954,-31.068,-13.000,60.609,29.944,-1.543,-188.541,210.281
