%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
100727.598,301.152,1.165,9.899,57.091,-0.152,-3.783,16.636,-4.917,-23.385,-23.752,-25.531,-20.074,-15.947,-13.954,-9.898,-8.962,-14.656,-25.090,-59.352,-57.005,-60.456,-5.000,60.609,29.944,-1.543,-147.917,215.744
100727.598,301.149,1.165,9.899,57.091,-0.152,-3.783,16.747,-4.703,-22.759,-23.860,-25.116,-20.608,-15.197,-12.838,-10.107,-8.646,-14.762,-25.403,-58.621,-57.212,-58.880,-5.000,60.609,29.944,-1.543,-148.813,215.754
100719.536,301.152,1.165,9.886,56.933,-0.472,-4.215,16.189,-4.917,-23.385,-24.076,-25.427,-19.860,-15.411,-13.396,-9.273,-9.806,-14.549,-25.508,-59.457,-57.005,-58.204,-5.000,60.609,29.944,-1.543,-148.373,215.744
100723.567,301.147,1.165,9.886,56.933,-0.312,-3.350,15.966,-5.131,-22.863,-24.615,-24.908,-19.540,-15.197,-13.061,-10.003,-8.435,-14.656,-24.881,-58.830,-57.523,-58.655,-5.000,60.609,29.944,-1.543,-148.422,215.724
100735.661,301.144,1.165,9.899,57.091,-0.152,-3.350,16.412,-4.810,-23.176,-23.644,-25.324,-20.074,-14.983,-13.619,-10.003,-8.962,-14.868,-25.299,-59.561,-56.901,-60.118,-5.000,60.609,29.944,-1.543,-148.226,215.724
100719.536,301.147,1.165,9.913,57.249,-0.632,-3.999,16.189,-5.558,-22.863,-23.644,-24.908,-19.967,-15.625,-13.284,-10.315,-9.489,-14.868,-24.985,-59.770,-57.730,-59.105,-5.000,60.609,29.944,-1.543,-148.210,215.724
100719.536,301.147,1.165,9.893,57.012,-0.152,-3.999,16.524,-4.596,-23.803,-23.428,-24.701,-19.967,-15.625,-13.284,-9.586,-10.227,-15.293,-24.881,-59.770,-57.523,-59.330,-5.000,60.609,29.944,-1.543,-148.324,215.724
100727.598,301.147,1.165,9.906,57.170,-0.472,-3.567,16.077,-5.345,-23.176,-24.291,-25.635,-19.967,-15.732,-13.619,-9.794,-9.173,-15.080,-23.417,-59.248,-58.663,-59.218,-5.000,60.609,29.944,-1.543,-148.487,215.734
100727.598,301.154,1.165,9.920,57.328,-0.472,-4.107,16.412,-4.917,-22.446,-23.752,-26.050,-19.860,-15.732,-13.619,-9.690,-9.489,-15.186,-24.044,-59.039,-57.108,-59.893,-5.000,60.609,29.944,-1.543,-147.884,215.734
100735.661,301.151,1.165,9.912,57.249,-0.472,-3.567,16.747,-5.024,-23.072,-23.320,-24.805,-20.394,-15.304,-12.503,-10.629,-9.489,-14.656,-24.985,-58.725,-57.316,-58.430,-5.000,60.609,29.944,-1.543,-148.112,215.734
100735.661,301.154,1.165,9.926,57.407,-0.312,-4.323,16.412,-4.917,-23.176,-23.428,-24.805,-19.540,-15.197,-12.949,-9.691,-9.806,-14.868,-25.403,-58.621,-56.901,-58.204,-5.000,60.609,29.944,-1.543,-148.129,215.734
100735.661,301.147,1.165,9.912,57.249,-0.152,-2.702,15.854,-4.810,-22.968,-23.968,-25.116,-19.753,-15.304,-12.726,-9.379,-8.751,-15.399,-26.449,-59.143,-57.005,-58.204,-5.000,60.609,29.944,-1.543,-148.096,215.744
100727.598,301.149,1.165,9.899,57.091,-0.152,-3.350,16.189,-5.131,-23.489,-23.860,-25.635,-19.967,-15.946,-12.838,-9.691,-9.489,-14.549,-26.449,-58.516,-56.694,-59.105,-5.000,60.609,29.944,-1.543,-148.063,215.734
100735.661,301.152,1.165,9.885,56.933,-0.632,-3.026,16.636,-5.772,-23.176,-23.752,-24.805,-20.501,-15.411,-12.838,-10.317,-8.962,-14.974,-24.567,-58.934,-56.590,-57.754,-5.000,60.609,29.944,-1.543,-148.504,215.744
100727.598,301.147,1.165,9.906,57.170,-0.472,-4.215,16.189,-4.596,-22.968,-23.644,-25.427,-19.967,-15.839,-12.949,-9.796,-10.016,-14.974,-25.926,-57.994,-56.694,-58.430,-5.000,60.609,29.944,-1.543,-148.243,215.734
100727.598,301.152,1.165,9.906,57.170,-0.472,-2.702,15.296,-4.810,-23.176,-23.860,-25.220,-19.647,-15.411,-12.615,-9.587,-8.962,-15.930,-25.090,-57.889,-56.798,-58.092,-5.000,60.609,29.944,-1.543,-148.308,215.734
100727.598,301.151,1.165,9.899,57.091,-0.472,-3.134,16.859,-4.810,-22.550,-23.212,-25.427,-19.967,-14.876,-12.726,-9.691,-9.700,-14.018,-26.867,-58.203,-56.279,-58.655,-5.000,60.609,29.944,-1.543,-147.900,215.724
100727.598,301.147,1.165,9.892,57.012,-0.472,-3.459,16.189,-4.489,-23.176,-23.968,-24.597,-19.967,-15.411,-12.391,-10.108,-8.962,-14.443,-26.867,-58.516,-56.383,-58.317,-5.000,60.609,29.944,-1.543,-148.080,215.724
100727.598,301.149,1.165,9.899,57.091,-0.312,-3.675,16.189,-5.131,-23.281,-23.860,-24.805,-19.860,-15.732,-12.726,-9.275,-9.911,-14.974,-27.285,-57.994,-56.590,-58.655,-5.000,60.609,29.944,-1.543,-148.520,215.724
100735.661,301.149,1.165,9.899,57.091,-0.312,-2.918,15.966,-4.917,-22.863,-23.860,-24.805,-19.433,-15.090,-12.838,-9.691,-8.540,-15.293,-26.031,-57.785,-55.968,-58.204,-5.000,60.609,29.944,-1.543,-148.161,215.734
100703.410,301.165,1.165,19.971,232.300,-1.113,38.332,43.766,-50.987,-130.498,-128.367,-129.420,-113.075,-91.933,-79.036,-1.771,-17.081,-41.312,-51.120,-74.399,-219.934,-228.314,-5.000,60.609,29.944,-1.543,-148.634,215.744
100719.536,301.162,1.165,19.973,232.379,-1.273,38.548,45.776,-50.773,-130.185,-127.071,-128.901,-111.580,-90.649,-77.585,-0.834,-15.815,-39.081,-50.702,-75.235,-219.002,-229.215,-5.000,60.609,29.944,-1.543,-148.569,215.754
100719.536,301.164,1.165,19.962,232.142,-1.433,39.306,45.552,-50.238,-129.767,-127.071,-128.279,-113.181,-90.970,-77.362,-1.563,-16.343,-38.869,-50.075,-74.504,-218.483,-226.851,-5.000,60.609,29.944,-1.543,-148.308,215.724
100715.504,301.164,1.165,19.953,231.905,-1.273,38.548,45.441,-49.383,-129.766,-126.963,-127.863,-111.687,-91.077,-77.920,-0.729,-16.448,-39.188,-49.552,-74.295,-218.483,-227.076,-5.000,60.609,29.944,-1.543,-148.080,215.744
100715.504,301.162,1.165,19.956,231.984,-0.953,39.631,44.213,-50.559,-129.871,-127.935,-128.798,-112.434,-91.719,-78.478,-1.667,-16.659,-40.250,-50.493,-74.817,-218.794,-226.963,-5.000,60.609,29.944,-1.543,-148.243,215.734
100719.536,301.157,1.165,19.955,231.984,-1.273,39.090,45.217,-50.773,-130.080,-127.611,-129.524,-112.541,-91.398,-78.255,-1.980,-16.870,-39.400,-50.807,-75.026,-218.380,-226.963,-5.000,60.609,29.944,-1.543,-147.607,215.703
100715.504,301.167,1.165,19.960,232.063,-1.113,39.306,44.882,-50.559,-130.080,-127.395,-128.382,-112.861,-92.040,-79.148,-1.563,-16.975,-39.081,-50.493,-75.026,-220.038,-227.639,-5.000,60.609,29.944,-1.543,-148.014,215.744
100731.630,301.164,1.165,19.948,231.826,-0.953,37.682,44.213,-51.094,-130.184,-128.151,-129.212,-112.861,-93.110,-79.706,-2.292,-17.397,-39.719,-50.911,-75.549,-219.520,-228.202,-5.000,60.609,29.944,-1.543,-148.194,215.744
100727.598,301.164,1.165,19.955,231.984,-1.113,39.198,43.766,-50.773,-130.184,-127.287,-128.797,-112.541,-92.147,-78.912,-1.563,-16.764,-39.931,-50.598,-75.026,-218.587,-227.751,-5.000,60.609,29.944,-1.543,-148.275,215.744
100723.567,301.165,1.165,19.962,232.142,-0.792,38.765,44.659,-51.414,-130.915,-127.719,-130.146,-113.181,-92.682,-79.582,-2.501,-16.659,-39.825,-51.748,-76.802,-219.105,-228.539,-5.000,60.609,29.944,-1.543,-148.014,215.744
100727.598,301.162,1.165,19.951,231.905,-0.792,38.332,44.324,-51.307,-131.124,-127.827,-129.212,-113.395,-92.361,-79.470,-2.293,-17.186,-39.612,-50.075,-77.429,-218.898,-227.301,-5.000,60.609,29.944,-1.543,-148.585,215.734
100731.630,301.165,1.165,19.951,231.905,-0.953,38.873,43.654,-50.987,-130.602,-128.367,-129.524,-112.541,-92.896,-79.693,-1.772,-16.975,-40.037,-50.389,-76.489,-219.105,-227.526,-5.000,60.609,29.944,-1.543,-148.716,215.724
100723.567,301.168,1.165,19.955,231.984,-0.953,38.548,43.319,-51.842,-131.124,-128.799,-129.212,-113.074,-92.254,-79.582,-2.397,-16.448,-40.250,-50.493,-76.384,-218.380,-227.188,-5.000,60.609,29.944,-1.543,-148.129,215.724
100715.504,301.164,1.165,19.949,231.826,-1.113,38.873,44.771,-51.628,-130.080,-127.611,-129.005,-112.113,-91.719,-78.354,-1.459,-16.026,-39.081,-50.911,-77.012,-217.343,-226.625,-5.000,60.609,29.944,-1.543,-148.438,215.754
100715.504,301.160,1.165,19.956,231.984,-0.953,40.389,44.436,-50.773,-130.080,-127.719,-128.693,-113.502,-91.184,-77.461,-1.042,-16.026,-39.081,-49.866,-76.907,-217.551,-224.937,-5.000,60.609,29.944,-1.543,-148.161,215.734
100719.536,301.160,1.165,19.956,231.984,-0.953,40.606,44.659,-50.559,-129.975,-127.395,-128.693,-111.580,-92.040,-78.131,-0.938,-16.237,-39.400,-49.657,-76.176,-217.551,-225.837,-5.000,60.609,29.944,-1.543,-148.145,215.724
100727.598,301.160,1.165,19.948,231.826,-0.792,40.606,43.989,-50.666,-129.766,-127.287,-128.797,-112.541,-91.184,-78.577,-0.834,-16.026,-39.931,-50.389,-75.340,-216.929,-225.049,-5.000,60.609,29.944,-1.543,-148.324,215.744
100719.536,301.162,1.165,19.949,231.826,-0.792,40.389,45.106,-51.307,-130.184,-127.179,-128.797,-112.220,-91.398,-77.238,-2.188,-16.448,-39.081,-50.075,-76.280,-217.033,-225.725,-5.000,60.609,29.944,-1.543,-148.748,215.734
100727.598,301.162,1.165,19.955,231.984,-0.792,40.064,44.213,-50.452,-131.124,-127.503,-129.109,-112.754,-91.826,-78.019,-1.563,-17.397,-40.250,-50.911,-78.370,-219.209,-227.751,-5.000,60.609,29.944,-1.543,-148.259,215.744
100719.536,301.160,1.165,19.962,232.142,-0.632,38.548,43.208,-51.735,-130.810,-128.907,-129.939,-113.395,-93.217,-80.363,-2.293,-18.135,-41.205,-52.375,-77.639,-220.039,-227.976,-5.000,60.609,29.944,-1.543,-148.161,215.744
100731.630,301.167,1.165,30.225,532.219,-3.994,60.854,104.949,-117.473,-304.216,-296.895,-301.599,-270.994,-228.174,-186.650,-5.836,-45.021,-96.429,-133.289,-204.806,-464.846,-593.413,-5.000,60.609,29.944,-1.543,-148.357,215.734
100707.441,301.170,1.165,30.228,532.219,-4.154,59.771,105.619,-117.687,-303.276,-297.651,-301.703,-270.674,-227.746,-186.650,-5.419,-43.967,-95.473,-132.975,-202.298,-467.852,-591.612,-5.000,60.609,29.944,-1.543,-148.520,215.734
100715.504,301.173,1.165,30.223,532.060,-4.154,60.529,103.721,-117.793,-302.963,-296.355,-302.430,-271.101,-227.318,-188.548,-6.044,-45.232,-96.323,-134.021,-202.612,-465.883,-594.989,-5.000,60.609,29.944,-1.543,-148.846,215.734
100719.536,301.170,1.165,30.222,532.060,-3.834,58.689,105.396,-119.290,-303.381,-296.463,-301.703,-270.354,-226.889,-186.427,-6.253,-43.123,-94.092,-133.080,-202.089,-463.499,-591.612,-5.000,60.609,29.944,-1.543,-148.487,215.754
100711.473,301.173,1.165,30.221,531.981,-4.154,61.179,105.731,-116.617,-302.754,-294.952,-300.146,-269.286,-226.247,-185.645,-4.481,-43.229,-94.517,-132.244,-203.030,-463.603,-591.386,-5.000,60.609,29.944,-1.543,-148.618,215.744
100735.661,301.170,1.165,30.217,531.981,-3.994,62.045,104.949,-117.579,-302.337,-296.356,-300.976,-269.072,-226.247,-184.306,-3.543,-41.753,-93.561,-130.989,-200.835,-460.701,-588.009,-5.000,60.609,29.944,-1.543,-148.504,215.724
100723.567,301.175,1.165,30.219,531.981,-3.834,63.994,106.289,-115.655,-301.084,-293.981,-300.042,-267.685,-223.679,-180.957,-2.397,-41.331,-93.349,-130.048,-200.208,-464.639,-587.334,-5.000,60.609,29.944,-1.543,-148.601,215.713
100727.598,301.173,1.165,30.219,531.981,-3.994,64.752,106.847,-117.045,-301.188,-294.520,-299.627,-268.966,-224.856,-182.520,-3.752,-41.963,-93.774,-131.721,-201.253,-459.560,-588.797,-5.000,60.609,29.944,-1.543,-148.601,215.744
