%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82965.148,299.364,0.965,15.035,109.125,0.018,109.562,111.328,113.688,114.275,114.092,110.222,110.498,111.327,112.293,113.492,116.223,110.132,116.334,114.082,112.982,110.672,-11.000,-0.783,-0.437,-0.052,-90.245,215.570
82969.180,299.364,0.966,15.040,109.204,0.178,109.345,110.993,113.046,113.543,114.416,111.470,109.750,110.898,112.853,112.970,115.378,109.706,116.229,114.396,113.189,111.913,-11.000,-0.821,-0.437,-0.052,-90.228,215.560
82961.117,299.363,0.965,15.030,109.046,0.178,108.046,110.993,113.581,113.856,114.200,110.742,110.285,111.005,111.958,113.701,115.378,109.919,116.543,113.454,113.189,111.575,-11.000,-0.763,-0.447,-0.052,-90.212,215.539
82965.148,299.364,0.965,15.035,109.125,-0.142,109.129,110.547,113.795,114.379,113.767,110.950,110.285,110.791,112.517,113.701,115.906,109.706,116.229,113.978,112.462,111.913,-11.000,-0.763,-0.447,-0.051,-90.212,215.539
82957.086,299.363,0.965,15.041,109.204,-0.142,109.020,110.658,113.474,114.170,114.632,110.430,110.712,111.112,111.622,113.806,116.118,110.132,116.125,114.501,113.189,110.898,-11.000,-0.783,-0.457,-0.052,-90.212,215.549
82969.180,299.363,0.966,15.040,109.204,-0.302,109.670,110.882,113.260,114.170,114.200,110.950,110.391,111.434,112.629,113.284,115.801,110.026,116.229,114.187,113.501,112.139,-11.000,-0.802,-0.447,-0.052,-90.212,215.560
82957.086,299.364,0.965,15.036,109.125,-0.142,109.345,111.552,113.581,113.438,114.308,111.054,110.819,111.327,111.958,114.119,115.167,110.026,116.334,113.873,113.189,111.575,-11.000,-0.821,-0.467,-0.052,-90.196,215.549
82965.148,299.361,0.965,15.046,109.283,-0.142,109.345,110.882,113.474,113.856,113.875,111.054,110.498,110.469,112.070,113.597,116.435,109.281,116.125,113.873,112.566,111.575,-11.000,-0.763,-0.437,-0.052,-90.261,215.549
82961.117,299.363,0.965,15.036,109.125,-0.462,109.237,111.105,113.046,113.961,114.308,110.430,110.605,111.327,112.070,113.492,115.695,109.813,116.334,113.768,112.982,111.349,-11.000,-0.802,-0.447,-0.052,-90.212,215.560
82969.180,299.364,0.966,15.040,109.204,-0.142,108.587,111.663,112.511,114.170,114.092,110.846,110.071,111.005,112.853,112.762,115.695,109.068,116.543,114.082,112.878,111.800,-11.000,-0.802,-0.447,-0.052,-90.228,215.560
82961.117,299.361,0.965,15.046,109.283,-0.142,108.696,110.993,113.046,113.438,113.875,111.158,110.819,111.220,112.405,113.910,115.378,110.132,116.439,113.454,113.189,112.026,-11.000,-0.783,-0.457,-0.053,-90.196,215.570
82961.117,299.363,0.965,15.030,109.046,0.018,109.562,110.547,113.367,113.961,113.767,111.158,110.071,110.683,112.405,113.492,115.695,109.387,116.020,114.187,111.839,111.462,-11.000,-0.763,-0.417,-0.053,-90.212,215.539
82969.180,299.361,0.966,15.040,109.204,0.018,109.129,110.658,112.939,113.856,114.632,110.430,110.285,111.220,112.070,113.597,115.589,109.919,116.543,113.768,113.501,111.123,-11.000,-0.763,-0.447,-0.052,-90.212,215.539
