%Time(s)	Speed(rpm)		
	%3/12/201512:12 PM
0.010	100.700
0.020	101.200
0.030	101.300
0.040	101.500
0.050	101.700
0.060	101.300
0.070	101.500
0.080	101.000
0.090	100.800
0.100	100.500
0.110	100.400
0.120	100.200
0.130	100.100
0.140	99.900
0.150	100.000
0.160	99.900
0.170	99.600
0.180	99.200
0.190	98.900
0.200	98.500
0.210	98.600
0.220	98.400
0.230	98.200
0.240	98.300
0.250	97.500
0.260	98.700
0.270	98.100
0.280	98.300
0.290	98.200
0.300	98.200
0.310	98.200
0.320	98.100
0.330	98.000
0.340	98.200
0.350	98.100
0.360	97.800
0.370	98.000
0.380	97.800
0.390	98.200
0.400	98.100
0.410	98.500
0.420	98.400
0.430	97.800
0.440	98.700
0.450	98.300
0.460	98.300
0.470	98.400
0.480	98.300
0.490	98.400
0.500	98.900
0.510	99.200
0.520	99.800
0.530	100.400
0.540	100.600
0.550	100.600
0.560	100.900
0.570	100.700
0.580	100.500
0.590	100.300
0.600	100.300
0.610	100.300
0.620	100.200
0.630	100.200
0.640	100.100
0.650	100.400
0.660	100.000
0.670	99.700
0.680	99.800
0.690	99.400
0.700	99.600
0.710	99.500
0.720	99.400
0.730	99.700
0.740	98.900
0.750	99.600
0.760	99.500
0.770	99.500
0.780	99.100
0.790	99.100
0.800	99.100
0.810	98.900
0.820	99.000
0.830	98.800
0.840	98.700
0.850	98.500
0.860	98.700
0.870	98.000
0.880	98.400
0.890	98.200
0.900	98.500
0.910	97.900
0.920	98.000
0.930	97.900
0.940	97.900
0.950	97.900
0.960	97.800
0.970	98.000
0.980	98.100
0.990	97.800
1.000	97.800
1.010	97.900
1.020	97.700
1.030	97.800
1.040	98.000
1.050	98.400
1.060	98.900
1.070	99.000
1.080	99.800
1.090	100.600
1.100	100.800
1.110	100.800
1.120	100.800
1.130	101.000
1.140	100.900
1.150	100.600
1.160	100.500
1.170	100.300
1.180	100.100
1.190	100.200
1.200	100.100
1.210	100.200
1.220	100.100
1.230	100.100
