%Time(s)	Speed(rpm)		
	%3/12/201512:16 PM
0.010	99.800
0.020	99.700
0.030	99.300
0.040	99.000
0.050	98.900
0.060	98.600
0.070	98.500
0.080	97.900
0.090	98.100
0.100	98.000
0.110	97.800
0.120	97.800
0.130	97.800
0.140	97.800
0.150	97.500
0.160	97.500
0.170	97.400
0.180	97.700
0.190	97.400
0.200	97.200
0.210	96.700
0.220	97.500
0.230	97.000
0.240	96.700
0.250	96.600
0.260	96.700
0.270	96.900
0.280	96.900
0.290	96.900
0.300	97.100
0.310	97.500
0.320	97.800
0.330	98.800
0.340	99.100
0.350	100.600
0.360	100.300
0.370	100.200
0.380	100.400
0.390	100.100
0.400	100.200
0.410	100.200
0.420	100.200
0.430	100.200
0.440	100.000
0.450	99.800
0.460	99.700
0.470	99.600
0.480	99.400
0.490	99.000
0.500	99.100
0.510	98.800
0.520	98.400
0.530	98.300
0.540	98.100
0.550	98.000
0.560	97.700
0.570	96.700
0.580	97.200
0.590	97.200
0.600	97.100
0.610	96.900
0.620	97.100
0.630	96.900
0.640	96.200
0.650	97.100
0.660	96.700
0.670	96.800
0.680	97.100
0.690	97.500
0.700	99.100
0.710	99.300
0.720	99.700
0.730	99.900
0.740	100.000
0.750	100.400
0.760	100.300
0.770	100.400
0.780	100.300
0.790	100.300
0.800	99.900
0.810	99.800
0.820	99.700
0.830	99.500
0.840	99.500
0.850	99.200
0.860	99.000
0.870	99.100
0.880	98.800
0.890	98.600
0.900	98.700
0.910	98.600
0.920	98.200
0.930	98.000
0.940	98.200
0.950	98.000
0.960	97.900
0.970	98.000
0.980	97.500
0.990	97.500
1.000	97.500
1.010	97.400
1.020	97.200
1.030	97.100
1.040	96.900
1.050	96.700
1.060	96.100
1.070	96.800
1.080	96.800
1.090	97.500
1.100	98.200
1.110	99.200
1.120	100.300
1.130	100.300
1.140	100.700
1.150	100.500
1.160	100.200
1.170	100.200
1.180	99.800
1.190	99.800
1.200	99.700
1.210	99.400
1.220	99.500
1.230	99.400
1.240	99.300
1.250	99.200
1.260	99.200
1.270	99.300
1.280	98.900
1.290	99.100
1.300	98.700
1.310	98.600
1.320	98.700
1.330	98.600
1.340	98.500
1.350	98.500
1.360	98.600
1.370	98.500
1.380	98.400
1.390	98.700
1.400	98.500
1.410	98.600
1.420	98.000
1.430	98.300
1.440	98.300
1.450	98.300
1.460	98.100
1.470	97.900
1.480	97.900
1.490	97.900
1.500	97.900
1.510	97.900
1.520	97.800
1.530	97.300
1.540	97.300
1.550	97.500
1.560	97.700
1.570	97.200
1.580	98.100
1.590	98.300
1.600	98.800
1.610	98.900
1.620	99.400
1.630	99.900
1.640	99.900
1.650	99.700
1.660	99.800
1.670	99.900
1.680	99.500
1.690	99.400
1.700	99.500
1.710	99.500
1.720	99.400
1.730	99.500
1.740	99.400
1.750	99.300
1.760	99.100
1.770	99.000
1.780	98.800
1.790	98.700
1.800	98.600
1.810	98.500
1.820	98.100
1.830	98.000
1.840	97.900
1.850	97.900
1.860	97.700
1.870	97.500
1.880	97.500
1.890	97.400
1.900	97.300
1.910	97.100
1.920	97.100
1.930	97.400
1.940	97.200
