%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
101743.525,301.938,1.174,0.656,0.253,0.096,-4.431,-3.232,-1.069,-0.104,-1.619,-3.528,-3.737,-3.318,-1.786,-3.022,0.106,-3.611,0.733,-1.254,-1.347,-1.576,-6.997,0.040,-0.258,0.001,535.448,336.520
101743.525,301.939,1.174,0.544,0.174,0.416,-4.431,-3.678,-0.748,-0.313,-1.727,-3.528,-2.990,-3.425,-2.009,-1.667,-0.316,-3.717,0.733,-1.045,-1.555,-1.576,-6.976,0.021,-0.248,0.000,535.448,336.520
101743.525,301.939,1.174,0.656,0.253,-0.064,-3.891,-4.124,-0.962,-0.209,-1.727,-3.943,-3.203,-2.462,-1.675,-1.251,0.845,-4.567,0.524,-0.731,-1.347,-1.464,-6.966,0.021,-0.258,0.003,535.448,336.520
101743.525,301.938,1.174,0.402,0.095,-0.064,-4.107,-2.675,-2.138,-0.313,-1.295,-4.462,-3.524,-3.104,-1.340,-2.188,0.211,-4.142,0.209,-1.045,-1.140,-2.026,-6.997,0.060,-0.238,0.001,535.448,336.520
101751.588,301.941,1.174,0.164,0.016,-0.224,-4.323,-2.786,-0.534,-0.418,-1.943,-3.840,-4.698,-3.318,-1.451,-2.084,-0.211,-4.248,1.152,-1.985,-1.036,-2.252,-6.966,0.002,-0.248,0.001,535.448,336.520
101743.525,301.939,1.174,0.544,0.174,-0.064,-4.648,-3.344,-0.855,-0.522,-1.727,-3.632,-3.310,-3.960,-2.009,-1.980,-0.000,-4.036,0.105,-0.836,-1.762,-1.914,-6.976,0.040,-0.258,0.000,535.448,336.520
101731.431,301.936,1.174,0.402,0.095,-0.384,-4.323,-4.235,-1.390,-0.418,-0.756,-4.358,-3.630,-3.425,-2.233,-1.876,0.528,-4.036,0.209,-1.254,-0.726,-3.040,-6.997,0.079,-0.269,0.001,535.448,336.520
101739.494,301.941,1.174,0.402,0.095,-0.224,-4.539,-2.898,-0.962,-0.731,-1.403,-3.839,-3.737,-3.318,-1.451,-2.814,-0.000,-4.036,0.314,-1.254,-1.658,-1.801,-6.956,0.040,-0.228,0.001,535.448,336.520
101731.431,301.939,1.174,0.402,0.095,-0.064,-4.756,-3.232,-0.855,-1.044,-1.079,-3.839,-4.271,-3.211,-2.344,-1.563,-0.105,-4.036,0.838,-1.149,-1.451,-1.689,-6.976,0.040,-0.248,0.001,535.448,336.520
101743.525,301.936,1.174,0.164,0.016,0.096,-4.323,-3.789,-1.283,-0.418,-1.835,-3.632,-3.737,-3.104,-1.898,-1.563,0.739,-4.460,0.419,-0.836,-1.969,-1.689,-6.966,0.040,-0.248,0.001,535.448,336.520
