%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
102416.779,301.449,1.184,0.000,-0.063,0.216,-2.162,-1.115,1.177,1.359,0.649,-1.453,-1.922,-1.498,0.112,-0.208,2.113,-1.805,3.037,0.105,0.519,0.790,-7.083,-0.008,-0.256,0.001,535.448,336.520
102424.842,301.451,1.184,0.000,-0.142,0.536,-2.810,-1.226,1.177,1.882,0.541,-1.453,-0.747,-2.033,-0.335,0.522,2.218,-1.168,2.513,1.047,0.312,0.113,-7.062,0.012,-0.256,0.001,535.448,336.520
102420.810,301.451,1.184,0.654,0.253,0.216,-1.513,-1.560,1.177,1.882,0.541,-1.764,-0.747,-0.963,-0.670,0.522,2.218,-2.336,2.932,1.465,0.623,-0.788,-7.073,-0.027,-0.256,0.002,535.448,336.520
102420.810,301.449,1.184,0.000,-0.063,0.696,-2.486,-0.557,0.535,1.777,0.757,-1.557,-0.854,-1.070,0.224,-0.208,2.430,-2.018,2.304,1.361,0.623,0.338,-7.062,-0.027,-0.256,0.001,535.448,336.520
102420.810,301.451,1.184,0.163,0.016,0.216,-2.378,-0.892,1.927,1.882,0.433,-1.038,-1.388,-1.070,0.336,0.313,2.007,-1.912,2.723,0.837,0.831,0.902,-7.062,0.012,-0.236,0.000,535.448,336.520
102420.810,301.447,1.184,0.542,0.174,0.216,-1.513,-1.672,1.606,1.777,0.433,-1.660,-1.068,-1.498,0.224,-0.104,2.324,-2.124,2.932,1.675,-0.207,0.338,-7.073,-0.027,-0.246,0.001,535.448,336.520
102408.716,301.446,1.184,0.542,0.174,0.376,-2.378,-0.557,1.177,2.091,0.973,-1.972,-0.534,-1.819,0.112,-0.104,2.641,-1.487,2.408,1.361,0.935,-0.225,-7.062,-0.008,-0.267,0.001,535.448,336.520
102404.684,301.449,1.183,0.400,0.095,0.056,-1.945,-0.557,1.606,1.359,0.973,-0.934,-1.495,-1.712,0.559,0.522,3.064,-1.699,3.141,0.628,0.727,-0.113,-7.073,-0.008,-0.267,0.001,535.448,336.520
102404.684,301.446,1.183,0.163,0.016,0.056,-2.810,-1.226,1.499,2.196,0.433,-1.660,-0.641,-2.033,0.559,0.104,2.852,-1.805,2.513,1.570,0.415,0.000,-7.083,-0.008,-0.246,0.001,535.448,336.520
102408.716,301.444,1.184,0.400,0.095,0.216,-1.945,-1.783,1.391,1.777,0.757,-1.660,-1.175,-1.070,-0.558,-0.000,3.064,-2.124,2.618,1.465,0.519,0.338,-7.083,0.012,-0.277,0.002,535.448,336.520
