%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
102453.062,301.502,1.184,0.578,0.198,-0.096,-1.837,-0.557,1.820,1.359,0.973,-1.038,-1.068,-1.177,0.671,0.731,2.324,-1.805,2.932,0.314,1.246,0.226,-5.929,0.009,-0.231,0.001,535.448,336.520
102457.093,301.497,1.184,0.448,0.119,0.064,-2.162,-1.115,1.070,1.882,0.216,-1.453,-0.854,-1.712,0.112,0.731,2.430,-1.912,2.094,0.837,0.727,0.226,-5.918,0.028,-0.241,0.001,535.448,336.520
102449.030,301.494,1.184,0.684,0.277,-0.256,-1.621,-1.337,1.606,2.091,1.190,-2.076,-0.747,-1.284,-0.112,0.626,2.747,-1.381,3.036,0.837,0.935,-0.450,-5.949,0.009,-0.241,0.001,535.448,336.520
102449.030,301.502,1.184,0.258,0.040,-0.256,-2.162,-0.446,0.963,2.196,0.757,-1.245,-1.495,-1.498,0.336,-0.521,2.324,-2.018,3.036,1.151,0.519,1.015,-5.970,0.028,-0.262,0.001,535.448,336.520
102453.062,301.496,1.184,0.000,-0.040,-0.416,-3.026,-1.003,1.713,1.987,1.081,-1.349,-0.214,-1.605,-0.223,0.104,1.796,-1.274,2.513,0.837,0.831,-0.225,-5.949,0.028,-0.221,0.001,535.448,336.520
102444.999,301.494,1.184,0.000,-0.040,-0.416,-1.405,-2.006,0.963,1.987,0.541,-1.661,-1.175,-1.284,0.112,0.209,2.430,-2.230,2.199,0.942,0.727,0.451,-5.960,-0.010,-0.221,0.001,535.448,336.520
102449.030,301.496,1.184,0.448,0.119,-0.416,-2.054,-0.557,0.856,2.405,0.649,-1.972,-1.175,-1.284,0.559,0.209,2.641,-2.124,2.094,0.733,0.727,0.000,-5.960,0.028,-0.241,0.001,535.448,336.520
102453.062,301.494,1.184,0.258,0.040,-0.096,-1.621,-1.003,1.392,1.673,0.649,-1.349,-1.495,-1.177,0.224,0.626,2.219,-2.124,2.722,-0.104,0.623,0.564,-5.939,0.009,-0.231,0.001,535.448,336.520
102453.062,301.499,1.184,0.000,-0.040,-0.096,-1.621,-1.226,1.606,2.300,0.433,-1.557,-1.495,-1.605,0.224,0.522,2.852,-1.805,2.303,1.465,-0.311,0.000,-5.960,-0.029,-0.241,0.000,535.448,336.520
102453.062,301.501,1.184,0.000,-0.040,0.064,-2.054,-1.672,1.499,1.987,0.649,-1.245,-0.961,-1.284,-0.335,0.104,2.113,-1.805,2.827,0.837,0.519,-1.013,-5.939,0.028,-0.241,0.001,535.448,336.520
